NA	sentiment	tweet
4.27552E+17	positive	"Double IT first thing tomorrow! YYYYEEEESSSS!!!!!
437202103841591297	positive	what a beautiful saturday night with my pretty clothes."
4.32738E+17	negative	"Single awareness day is on Friday and I can't wait! #ValentinesDayCanSuckIt"""
4.30236E+17	neutral	"May monthly theme ata ang floor namin: last month North Pole, ngayon naman Africa #anglamigeh 
438690481107529728	negative	Your inspirational quotes on twitter/Feb never really got to me. But oh damn ur pics of them on IG have truly inspired me. #idiots"
4.31982E+17	negative	"@QLDLabor c'mon now that's unfair I'm sure it's just because his Mum forgot to put his shirt in the drier #griffithvotes
427312396701429761	negative	Work tomorrow is gonna be so fun #tired"
4.37577E+17	negative	"Oh no I have to do a 10-slide presentation on why I love Brixton by tomorrow morning and I got NOTHING oh wait... :-) @l00plabs
435378745780629504	neutral	If this doesn't motivate u on a Monday morning then idk what does http://t.co/5cvjg6NZ0B"
4.27897E+17	positive	"Karime is SO EXCITED there's no school tomorrow... http://t.co/io4cNKEbc4
438228422587076608	positive	Nice to know the people in charge, who have so much power, are making smart decisions... #climatechange http://t.co/HkYVkMmpnt"
4.30506E+17	positive	"Looks like we're getting the heaviest snowfall in five years tomorrow. Awesome. I'll never get tired of winter.
428024257692848128	neutral	Who wants to work for me tomorrow? Don't all stand up at once noww #unlessyourwillingto"
4.28495E+17	negative	"On the bright side we have school today... Tomorrow and the day after ! #killmenow
432028941168431104	negative	Running 3 miles at 730am is what I'm really looking forward to tomorrow. #asthmaticproblems"
4.27146E+17	negative	"Ahh...nothing like a Saturday full of errands and shopping with the family."""
4.34359E+17	negative	"3 hrs later still on the phone with @comcast on my 7th person now. Fun Friday!"""
4.35217E+17	negative	"Oh goodie it's gonna be a snow storm tomorrow morning! Fun commute coming! Winter is awesome!
433060801939640320	neutral	@travisegodfrey @TheSportsDrive C'mon Travis it's all about the kids..."
4.25359E+17	negative	"My fave kinda Monday evening: fixing my effed up router. http://t.co/QGnrDufMFT
431969429443055617	positive	Really looking forward to the ACTS tomorrow morning."
4.30329E+17	positive	"4 tests tomorrow #excited
429911838206074883	negative	Added psychotic to my library when year 12 starts tomorrow #smartmove #gonnafail"
4.26753E+17	positive	"pretty sure it's the end of the school week now, Friday is the end right, or is it Wednesday? I forget 
431576701735563264	positive	Happy 21st Ell here's a present... I will ruin it for you #yay#justwhatiwanted"
4.32674E+17	negative	"Uhg, my procedure isn't even until tomorrow, and the clinic is already screwing up. Good signs, definitely good 
427795043961671680	positive	Goodnight!!!! Aral2 din pag may time! LOGIC is my fave subject!"
4.38163E+17	positive	"This week just keeps getting better and better and it's only monday!!! #blessed
425691884162646016	negative	RT @akrongarber: @moraro456 The 1st gay president AND the 1st Dope Head President Can't wait for photo of him sucking on a doogie"
4.26492E+17	negative	"Oh is there really a 2 hour delay tomorrow oh didn't know so keep posting it"""
4.34472E+17	positive	"More snow tomorrow Wooooooooooooooo! @Taggzzz @SchismV @frisky_ferret @ThunderDramon @XerxesWuff"""
