NA	sentiment	tweet	
6.20069E+17	neutral	@HOTTESTAR1 Bom may not be the best main vocalist but she does not have the worst voice in Kpop. Ppl need to stop over exaggerating	
6.20074E+17	positive	Tune into Reelz tomorrow at 7pm CT to support Alpha Mu's Rebecca Dunn in the Miss USA pageant. Go Becca! We love you! http://t.co/3WFtwMOPEq	
6.20076E+17	neutral	@m_rutler @xtina @nbc ru hosting a Miss USA party ? Sugar cake for the top 5 . Miss America in AC in sept.Free trip contests? Ur fired xtina	
6.20081E+17	positive	Be sure to watch Miss USA tomorrow night at 8pm ET on the Reelz Channel! I can not wait to see which beautiful... http://t.co/1I6LMrEFiJ	
6.20084E+17	neutral	"Given that Watchman repeats passages whole, it seems Lee didn't want to publish a 2nd book so much as she wanted to correct Mockingbird."	
6.20099E+17	negative	My parents are going to the Zac Brown Band concert tomorrow night and I'm so jealous.	
6.20112E+17	neutral	Really think @taylorswift13 should have @taylorphelan as a guest for Bad Blood at the show Oct 17 in Dallas	
6.20125E+17	positive	Sun setting on the Columbia river while the Zac Brown Band wails out Homegrown!#theshit http://t.co/EfHwVT56mj	
6.20131E+17	neutral	Was chatting up ref librarian at local public library a few days ago about Watchman. Ended up on hold list for novel. Read 1st chapter..5/S	
6.20133E+17	neutral	"Cartel Wedding, feeling like Chris Benoit after slamming Randy Orton for the 5th time in a row, stamina http://t.co/Xf3Ex1Knp6"	
6.20133E+17	neutral	[Paul] Paul McCartney &amp; Wings - Hot as Sun Concert for the People of Kampuchea http://t.co/5vBVyQiXXt	
6.20149E+17	negative	The growth of gerontocracy: George Osborne's assault on the young. @NickCohen4  http://t.co/722tfJelDt	
6.20152E+17	negative	The hidden Budget tax rises George Osborne didn't want you to know about http://t.co/aHTkG4iGUf	
6.20156E+17	positive	"This is soooo good! Sunday Jam ""@LucyRoseMusic covers Taylor Swift's Bad Blood in the Live Lounge"" https://t.co/aNRI5T5Wdq"	
6.20163E+17	neutral	Should the Sunday #tradinglaw be a thing of the past? George Osborne thinks so http://t.co/nrLlUgID3e	
6.20167E+17	positive	Just two days to go until the publishing event of the decade! Go Set a Watchman is out on Tuesday and you can... http://t.co/B2mSe5ECfE	
6.2017E+17	negative	Robbed by George Osborne...while the royals play decoy | Kevin McKenna http://t.co/aDQnPJxNQi	
6.20174E+17	positive	"At last, evidence that George Osborne's drive to make work more attractive that benefits is working. #makeworkpay https://t.co/M8Nrr4DSX3"	
6.20192E+17	neutral	"@mcuban Sir, if ur n Chicago, c Sir Paul McCartney, July 31. Met him in NY other day. He'll be xcellent. M sure he'd confirm I'd get ratings"	
6.20202E+17	negative	Boko Haram on Saturday claimed responsibility for attacks in Chad's capital N'Djamena and the Nigerian city of... http://t.co/gwyUpVUYvH	
6.20209E+17	negative	GEJ needs a public apology from all those that called him the sponsor of Boko Haram.  Every Sunday and Friday is a feast day for Boko Haram.	
6.20238E+17	positive	"We're on our way to Hoover, AL for SEC Media Days tomorrow, but tonight, we'll be cheering on @BrookeFletcher in the Miss USA pageant!"	
6.20266E+17	neutral	#Rangers - Josh Hamilton is not in the Rangers starting lineup on Sunday. http://t.co/hqWxQJ6vco #winning http://t.co/UC10Hlp3yD	
6.20268E+17	positive	@tifftiffannie haha 8th - 11th grade was strong with the Kpop. We're always in sync lol	
6.20279E+17	negative	"I remember Chad calling Boko Haram ""school boys"" Vowing to end them in two weeks.. Now he knows what's up  https://t.co/hxSaqlcgoe"	
6.20295E+17	negative	"By Joe Hemba DAMATURU, Nigeria, July 10 (Reuters) - Boko Haram islamist militants attacked the northern Nigerian town of Buni Yadi in Yobe"	
6.20302E+17	positive	Go Set a Watchman comes out Tuesday and I'm really excited for it	
6.20325E+17	positive	Happy Sunday! Back at the River Center for Miss USA!  It's going to be an interesting night. Who is watching the big show?	
6.20328E+17	positive	What I like about Ryan Braun making all star game is hearing all the hatred for him.  Assures me he may be a Brewer for life.  I like that!	
6.20329E+17	neutral	"Trump should let whoever comes in 11th place in the polls be a guest judge at Miss USA, to make up for it."	
6.20331E+17	negative	@BBCNews You know Go Set a Watchman is not being released until tomorrow? Really did not appreciate the spoiler on your website.	
6.20334E+17	neutral	People of Cirencester! Tomorrow is the day before The Day! Last chance to pre-order Go Set A Watchman at Half Price. http://t.co/126ah7QpUT	
6.20335E+17	neutral	"Trump to skip Miss USA pageant: Donald Trump won't be at the Miss USA Pageant taking place in Baton Rouge, Louisiana, on Sunday night..."	
6.20339E+17	neutral	For the sake of being at work during th Miss USA finals I am deleting my Facebook app until tomorrow so I can... http://t.co/iUfubj0jyu	
6.20342E+17	negative	Just seen hat somebody tried to sell a baby today -- George Osborne will be charging VAT on them next - at least on the 3rd one	
6.20345E+17	positive	Officially Miss Denton USA and officially so excited for Miss USA tonight and for September to come already! http://t.co/0YKeHN4Bz3	
6.20361E+17	neutral	Don't forget to tune in as Miss Iowa USA will represent the Hawkeye State during Sunday's Miss USA pageant: http://t.co/abM9iaS3B3	
6.20366E+17	positive	I'm about to eat four hot dogs and watch Miss USA. Happy Sunday.	
6.20373E+17	neutral	Nat'l Headline: Miss USA contestants prepare to take stage: Women from across the country Sunday are vying for... http://t.co/e6fAy16jgs	
6.20377E+17	positive	This is a Harper worth looking forward to. Go Set a Watchman's 1st chapter stuns fans with bombshell plot twist http://t.co/KCBLbn3EXj	
6.20381E+17	neutral	Tune in to the 2015 MISS USA Pageant July 12 8p ET/5p PT in Baton Rouge LIVE on ReelzChannel	
6.20381E+17	positive	3rd annual Miss USA pageant with wings night for me. #lifegoals	
6.20383E+17	positive	Time for Miss USA!!! Go @RealMissTNUSA !!!! Titans fans she cheers for your team on the sidelines every Sunday... time to cheer for her now!	
6.20385E+17	neutral	"@breeahnuh_ yes, it's true I've missed all my children but no Go Set a Watchman gets released Tuesday"	
6.20387E+17	neutral	Watching the Miss USA pageant...you can bet on me hitting the gym and ulta tomorrow lol	
6.20399E+17	positive	Miss USA featuring all the 1st generation Americans and multicultural women is great.	
6.20402E+17	negative	"The Asian girls in the swim suit section for Miss USA are the ones with the worse bodies, c'mon now &gt;_&gt; #itsmissusa #cantyouworkoutmore"	
6.20403E+17	negative	Go figure on Miss USA is talking about bi racial and 1st time immigrants sad how the owner missed up the girls this yr.	
6.20411E+17	neutral	#weeds #drug Miss USA contestants take stage in 64th annual pageant: Women from across the country Sunday took... http://t.co/zXt4jb135x	
6.20413E+17	negative	"It's Sunday, Miss USA is on and all y'all want to tweet about are dicks."	
6.20415E+17	positive	Can't decide if I'm more pumped about the crowning of a new Miss USA tonight or the All-Star game on Tuesday	
6.20416E+17	positive	The Miss USA pageant was tonight so that means there will be a lot more girls at the gym tomorrow	
6.20417E+17	neutral	"Thank you Miss USA! You stole my words ""Beauty is in the inside and outside"". You may be drop dead gorgeous but... http://t.co/rlUNVXm4Dq"	
6.20419E+17	negative	Also just now starting Miss USA so nobody text me about top 5 who wins etc Bc I may kill u	
6.2042E+17	neutral	Had kid at Sunday school ask me: Did you know Paul McCartney was in another band before Wings? &lt;Feeling OLD&gt; #NostalgiaChat	
6.20422E+17	positive	"@mikemckinnon @CCJsask agreed, especially Friday night! I love Zac Brown Band and it will be the first time I see them live (:"	
6.20423E+17	positive	"This may be about Miss America and not Miss USA, but John Oliver is always relevant/great/perfect/hilarious.  http://t.co/Bg8naStu66"	
6.20424E+17	negative	@KySportsRadio Miss USA pageant questions were epically bad. I think you have your topic for the show tomorrow	
6.20427E+17	negative	What I'm getting from Miss USA is that you can not answer a question at all and still get 3rd	
6.20427E+17	negative	"totally intended to boycott Miss USA show, but how in the world did Maryland come in 5th?! Three of those other girls gave terrible answers."	
6.20427E+17	neutral	Miss USA or prom queen the world may never know	
6.20428E+17	positive	"Be on the look out for my Miss USA 2015 recap tomorrow! Hear about my favorite gowns, swimsuit bods, and... http://t.co/rfX7QmvNEk"	
6.20428E+17	neutral	Now that Miss USA is over I think I might World War Z for the 6th time  . Cant go to sleep in a quiet room the TV is always on	
6.20429E+17	positive	Ylianna Guerra Miss Texas USA won 1st runner up at Miss USA. So proud to say she comes from the Valley and made it this far!	
6.2043E+17	neutral	May I have the names of the singers on Miss USA?	
6.20432E+17	neutral	Great way to end my 21st: watch the Miss USA pageant and cry because fat and ugly	
6.20433E+17	neutral	#MissUSA I wonder if someone from 1st Take is going to invite miss USA to the show	
6.20434E+17	neutral	"@snidere95 ""I'm Ellen Snider and I once survived a 3rd degree hand burn trying to make smores dip &amp; watch Miss USA when I was 20."""	
6.20436E+17	positive	we want the 9th crown for USA and especially enjoys every moment you lived as Miss USA.	
6.20436E+17	positive	"Cranking Iron Maiden tomorrow when I head to work. If you are going the speed limit, get out of my way."	
6.20436E+17	neutral	Re-watching the Miss USA pageant and Miss Rhode Island may have just made me cry	
6.20437E+17	positive	Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA.  She... http://t.co/Ddlb60TsH9	
6.20438E+17	negative	"Hahaha 2nd place in Miss USA was Miss Texas from @CityofMcAllen , wonder if the organization just placed her there just for being Mexican"	
6.20439E+17	positive	Well it's great to see a wonderful woman from McAllen get 1st Runner Up in the Miss USA Pageant	
6.20443E+17	negative	"Ugh, it's gonna be so embarrassing to have to go to work tomorrow, having not been being crowned Miss USA tonight."	
6.20449E+17	neutral	"#TeamFollowBack Another pageant, another Q&amp;A fail to make you question our educational systems During Sunday's Miss USA p...  #FollowBack"	
6.2045E+17	positive	Congratulations to Miss USA 1st runner up @RealMissTXUSA. You've made #McAllen and the #RGV very proud! #MissUSA	
6.20452E+17	neutral	"Olivia Jordan of Oklahoma was crowned Miss USA on Sunday, wearing a hot pink strapless dress as she deftly fie... http://t.co/KejBtuz08q"	
6.20452E+17	positive	The Miss USA questions portion may be the funniest thing I have ever seen	
6.20456E+17	neutral	".@TheRealKamie I'm the 1st to say embrace your body &amp; no one should be ashamed of theirs. However I want to know if ""Miss USA"" has nude vids"	
6.20463E+17	positive	Congrats Ylianna Guerra for getting 1st runner up in the Miss USA Pageant!! http://t.co/RuYKAJg7iP	
6.20465E+17	neutral	"Miss USA contestants prepare to take stage - BATON ROUGE, La. (AP) -- Women from across the country Sunday ... #news http://t.co/8rLUIcnbaU"	
6.20468E+17	neutral	Instead of watching the Miss USA pageant I watched Drop Dead Gorgeous...A 1999 dark comedy &amp; Amy Adams 1st role! #USA http://t.co/AmchDlvhaU	
6.2047E+17	negative	I madr noprogress my lfe is going downhill actually Kpop ruined the world everything will dje the sun will explodeand Bush will confirm 9/11	
6.20471E+17	neutral	"Donald Trump didn't show up for the Miss USA competition:  On Sunday, Olivia Jordan of Oklahoma was crowned Mi... http://t.co/sRaoXIBB4u"	
6.20473E+17	neutral	"Morning! Watch the 4 Lab leadership contenders give their views on George Osborne's budget for 1st time 0915 BBC2/BBCNews, with 100 voters"	
6.20481E+17	neutral	"The twitter page of the woman who just won the Miss USA pageant tonight only has 3,300 followers, so you may have a chance still, guys."	
6.20482E+17	positive	"@HuffingtonPost whats her name standing back of miss usa and crowning her,she is cute and beautiful..may be more than miss usa"	
6.20486E+17	neutral	"@TimLihoreau tomorrow's breakfast serial suggestion. George Harison was a Beatle,so was Paul McCartney so how about My Love!!!!"	
6.2049E+17	neutral	"Skills crisis is key flaw in George Osborne's productivity plan, says CBI. Girls are the answer @CBI_ES - lets talk. http://t.co/S41fdmGlxJ"	
6.20493E+17	neutral	Miss Oklahoma won the Miss USA pageant on Sunday https://t.co/KTxLA5Rd47	
6.2051E+17	neutral	"Pictures of the day: 13 July 2015: Miss USA is crowned, a leaping gymnast and an erupting volcano"	
6.20511E+17	negative	the Miss USA 1st runner up is a Latina woman who volunteers on the border of Mexico &amp; Texas because fuck Donald Trump all over his dumb self	
6.20513E+17	positive	Go Set a Watchman is out tomorrow! AAAAAAHHHHH! Even more excited about this than Urban Decay's Naked Smokey.	
6.20515E+17	positive	"Tomorrow, tomorrow, I'll sell you, tomorrow, Watchman's only a day awaaaay. #GSAW #GoSetAWatchman #Annie doors open at 8am, see you then! :)"	
6.20515E+17	neutral	George Osborne presented the first Budget of this Parliament on Wednesday 8 July 2015. The speech set out his... http://t.co/zz4Qpk7hpM	
6.2052E+17	positive	Only ONE day to go before the release of Go Set a Watchman! See you all at 8 am tomorrow... :)	
6.20535E+17	positive	Its getting close. The day is almost upon us. GO SET A WATCHMAN IS TOMORROW!! #GSAW	
6.20548E+17	negative	Talk about post holiday blues.15 seconds of George Osborne's voice undoes all the good of a week in the sun. Personification of a wet Monday	
6.20549E+17	neutral	Good Monday Rockers! Today we are going to discuss the best robots in TV/Movie History. Rolling Stone magazine... http://t.co/VNf5ip30dm	
6.20552E+17	neutral	George Osborne has been a believer in the living wage for two years - argues @MatthewdAncona http://t.co/jW76quIrYQ http://t.co/pGYdpJy9IZ	
6.20552E+17	positive	"Miss USA on Sunday, wearing a hot pink strapless dress as she deftly fielded the interview BEST THINGS IN LIFECOME FREE TO US CUZ WERE OOOH"	
6.20553E+17	positive	"I scream, you scream, we all scream for ice cream!!  National Ice Cream Day is Sunday July 19th!  All Sitel... http://t.co/Zg64hAx53d"	
6.20556E+17	positive	"Go Set a Watchman, the only other novel by Harper Lee set to be a hit as it's released in stores tomorrow! #goodreads http://t.co/9gyyCsLh5N"	
6.20557E+17	positive	"Surprises in ""Go Set a Watchman"" may make readers re-examine ""To Kill a Mockingbird.""  http://t.co/978ANj8K4k http://t.co/OSDOClikib"	
6.20562E+17	neutral	Intense workouts &amp; diet starts tomorrow after watching the Miss USA pageant.	
6.20566E+17	neutral	Go Set a Watchman is out tomorrow! We're open at 8:00am so you pick it up before work. Still time to preorder for half price today #GSOW	
6.20568E+17	neutral	"Called Watchman, same story as To Set a Watchman but from the Watchman's point of view? https://t.co/7xdyl43gOu"	
6.20569E+17	neutral	@TODAY inaccurate reporting on Watchman. Its the 1st book HL wrote after many revisions by request of publisher came To kill A mockingbird!	
6.20576E+17	neutral	@DrTimony I finished TKAM last Thursday! Let me know what you thing about Watchman	
6.20577E+17	positive	"Best HR derby,Josh Hamilton 28 monster blasts DEEP into the Bronx night,a record 1st round.Then like his career, faded,just three in finals."	
6.20581E+17	neutral	"Why would it be so bad if ARod played in the All-Star Game, but nobody cares that Ryan Braun will be playing tomorrow night #MLBAllStarGame"	
6.20581E+17	positive	Happy Monday! Did you know that today is National Ice Cream Day?! This Monday isn't going to be so tough after all... http://t.co/pQvGYXChjw	
6.20582E+17	neutral	"Harper Lee's new novel ""Go Set a Watchman"" will be published tomorrow. Get a sneak peek of the first chapter here: http://t.co/TJ8pZpAgec"	
6.20587E+17	neutral	Harper Lee may have a third novel in her safe-deposit box: Go Set a Watchman might not be the las... http://t.co/5F4StfLAp8 #socialmedia	
6.20593E+17	negative	"Just gonna say it: The lyrics in ""Bad Blood"" sound like they were written by a 7th grader. ""Done"" doesn't have two syllables, Taylor."	
6.20598E+17	positive	"TOMORROW is the big day!!!!!  Do you have your copy reserved?  Go Set a Watchman, by Harper Lee.   On sale here... http://t.co/bd9RFkoUSC"	
6.20603E+17	negative	Harrowingly fawning article about George Osborne (warning: may cause severe nausea) https://t.co/qYQNcyg9f1	
6.20606E+17	positive	I have two wishes: 1) that it was Tuesday already; 2) that I had ten eyes so I could read Go Set a Watchman faster.	
6.20606E+17	negative	"Go Set a Watchman is out tomorrow. This means we can expect to see speed readers on the news.    ""I read it in 45 minutes"" ""Piss off. Now!!"""	
6.20612E+17	neutral	See classic TO KILL A MOCKINGBIRD tonight 7 pm @CineplexMovies in Bayers Lake before Go Set a Watchman release Tues. http://t.co/5ccb9DFIco	
6.20612E+17	neutral	"Harper Lee, the author of the American literature classic To Kill a Mockingbird, will publish her 2nd book, Go Set a Watchman, this Tuesday"	
6.20613E+17	neutral	Reminder #Syriza doesn't have half the leftist balls of George Osborne who liquidated the buy-to-let rentier. http://t.co/RLTMqO1DI4	
6.20622E+17	neutral	May d Almighty ALLAH in his infinite mercy use dis set of service chiefs as the tool 2 end d Boko Haram menace on our land. @DefenceInfoNG	
6.20623E+17	positive	"All kinds of fun things happening for the launch of Go Set a Watchman tomorrow - come along for American-style sweets, treats + prizes #GSOW"	
6.20629E+17	neutral	will try to watch Brave first then will deal with AHS while sulking over Go Set a Watchman tomorrow	
6.2063E+17	neutral	"@thedaveschram @Tim_Deegan @LeahDaniels next year, Craven will have the Zac Brown Band on Friday after years of requesting them!"	
6.20631E+17	neutral	"Go Set a Watchman on shelves Tuesday, some already upset with sequel: http://t.co/8PtcFAKDc0 (PHOTO: HarperCollins) http://t.co/jNsBSZyIwb"	
6.20637E+17	positive	"Support Local Business! This Sunday is National Ice Cream Day, why not escape the heat and celebrate with our... http://t.co/Ocqde6NHVW"	
6.20638E+17	neutral	Fifty five years ago today TO KILL A MOCKINGBIRD was published. GO SET A WATCHMAN is released tomorrow. Will you read it?	
6.20641E+17	negative	"I may never read ""Watchman"" after this review. What would be the point? https://t.co/C6G1DUO5RY"	
6.20644E+17	positive	"Harper Lee's Go Set a Watchman comes out tomorrow, I just want to call into work so I can read it all day."	
6.20644E+17	positive	"It's finally here! Tomorrow sees the release of Harper Lee's Go Set a Watchman, a sequel to the legendary To Kill... http://t.co/SCJw0J9NOd"	
6.20646E+17	positive	"Hey! Our August book, Go Set a Watchman by Harper Lee is out tomorrow for all you eager readers!"	
6.20646E+17	negative	"So Watchman is an earlier draft of Mockingbird?? People have been had in getting excited for this. C'mon public, you're better than this."	
6.20648E+17	negative	George Osborne will on Tuesday reject calls for the UK to take part in latest Greek bailout: FT	
6.20649E+17	positive	"Wow! Big 24 hours for @BKComets!! 1st, @theOliviaJordan named Miss USA, now @kidkeuchy is named a starter for the MLB All-Star Game!! #Tulsa"	
6.20651E+17	positive	"The new Iron Maiden album, Mobility Scooter to the Hills, is out September 4th. Bless these old codgers."	
6.20653E+17	neutral	@oiler_country It may have been a one time thing as Paul McCartney played the hockey arena &amp; Wrestlemania was in the football arena.	
6.20653E+17	neutral	"If Sheamus lose against Orton, will be cashing MITB briefcase same night? And what about Dean Ambrose? https://t.co/dsp5UmKbPm"	
6.20654E+17	positive	Congratulations to our Texas beauty for placing 1ST RUNNER UP at the Miss USA pageant last night! WINX is the... http://t.co/dMES00wgOT	
6.20655E+17	neutral	"On the one hand, George Osborne &amp; Theresa May. On the other, Scott Walker &amp; Donald Trump. Clowns to the left of me, jokers to my right..."	
6.20661E+17	neutral	WWE announced on their Twitter account that Randy Orton would be facing Sheamus this Sunday at the Battleground PPV #WWE2K16 #Raw	
6.20662E+17	neutral	Miss Oklahoma wins Miss USA; Trump is the elephant (who wasn't) in the room: The Miss USA Pageant was held Sun... http://t.co/tvRyaWMSPT	
6.20664E+17	neutral	A girl named Jordan just got crowned Miss USA on Sunday. It wasn't me in case you were wondering...	
6.20665E+17	neutral	"So, Miss USA last night, the AL All-Star starting pitcher today. What's going to be tomorrow for Bishop Kelley HS?"	
6.20667E+17	negative	@SkyNewsTonight George Osborne must be p***ing himself. Talk about unintended consequences. PMQs will be interesting on Wednesday	
6.20669E+17	positive	Haley Laundrie represented Lake Mills in the Miss USA pageant Sunday. She is the first woman from the county to do so http://t.co/Qs9CUOweqv	
6.20671E+17	neutral	I am looking for to the release of Go Set a Watchman tomorrow by Harper Lee . I am NOT happy with all the spoilers  telling me about  it.	
6.20671E+17	positive	Meet the new NSA; Major General MT Monguno.... May almighty God give him the wisdom to defeat Boko Haram! Amen http://t.co/YIWi87aH5L	
6.20672E+17	neutral	Monday Night Raw tonight and we have one thing confirmed... Sheamus takes on Randy Orton at Battleground!	
6.20673E+17	positive	Go Set a Watchman - the highly anticipated second novel by Harper Lee is in stock and available for pre order today. - Pick up tomorrow.	
6.20673E+17	negative	"Bumpy road ... George Osborne - ""UK won't help with brigding loan to Greece"" according to The Guardian. http://t.co/HNzyOkMzi3"	
6.20674E+17	positive	Randy Orton vs. Sheamus has been added to the #WWEBattleground match card. I'm pumped about going to it on Sunday.	
6.20675E+17	neutral	Randy Orton will face off with Sheamus at #WWEBattleground on Sunday.      http://t.co/oDY1FgiqlP	
6.20676E+17	neutral	"July 17 @ the Prudential Center, Dean Ambrose vs. Seth Rollins World Heavyweight Championship Street Fight. Lets go SETH @WWERollins @WWE"	
6.20679E+17	positive	@Five_Guys ... AND the 23rd is National Hot Dog Day ;-)	
6.2068E+17	positive	"Please, please, please come true. I'm counting down the hours until Watchman's release. https://t.co/kUSvDa1zW7"	
6.20686E+17	positive	We thought it would be a great idea to read the brand new Go Set a Watchman by Harper Lee starting August 1st! http://t.co/PR2OMq3bGO	
6.20695E+17	neutral	"Sunday, during the Q&amp;A segment of the Miss USA pageant Miss Texas (Ylianna Guerra) made such an unapologetically... http://t.co/LJftdgulTQ"	
6.20696E+17	positive	"Eager to read Go Set a Watchman. Will be out tomorrow, can't wait to get my hands on it!"	
6.20697E+17	negative	Got caught up on sat&amp;sun's paper. Pretty upset that the Lexington Herald-Leader put a Go Set a Watchman spoiler on the front page.	
6.20699E+17	neutral	"Bad Blood is a v catchy song but the lyrics are such a ""omg he sat next to my bff at lunch instead of me"" anthem."	
6.20701E+17	negative	"Man behind 5th-grade insults in @RollingStone hot take a ""senior editor"" ... which explains a lot about Rolling Stone http://t.co/7rGAm1ju86"	
6.20702E+17	positive	I get Harper Lee's new book Go Set a Watchman tomorrow   I haven't been this excited about a new book in a long long time	
6.20704E+17	positive	I just realized that Go Set a Watchman comes out tomorrow!!!	
6.20704E+17	positive	@The_MaleBoss: Boko Haram will soon know the 'strength of our collective will' In Sha Allah. May God guide the new Service Chiefs!. Amin	
6.20705E+17	negative	"The Borno state police commissioner, Aderemi Opadokun, on Monday confirmed fresh attacks by the Boko Haram sect... http://t.co/3svj6EGFlP"	
6.2071E+17	neutral	"GO SET A WATCHMAN drops tomorrow. ICYMI, I talked to indie bookstores around the country about their preparations http://t.co/Xp4UaKd4G5"	
6.20714E+17	neutral	ReelzChannel's broadcast of the Miss USA pageant topped Nielsen Twitter TV ratings Sunday night.  More:... http://t.co/rX4ezzD5lr	
6.20714E+17	positive	"Buy Go Set a Watchman tomorrow guys, it's a big deal"	
6.20719E+17	positive	Whoa! National Ice Cream Day is in six days?! You may want to pay special attention here and on our Facebook &amp; Instagram accounts on Sunday.	
6.20721E+17	neutral	"@diversemind sorry about that, I didn't see it! I'm going to peep the article, are you gonna buy ""Watchman"" tomorrow? And yes by the way."	
6.20722E+17	positive	Congratulations @RealMissTXUSA for being first runner up in the Miss USA pageant Sunday!	
6.20723E+17	neutral	"@Michael22418062 Watchman was the 1st draft of Mockingbird, which was then changed beyond recognition. @kelly_carlin"	
6.20733E+17	positive	"#bbcdp Great to see EU Solidarity from George Osborne whose 1st Worry was about the effect of GREEK Crisis on UK Economy, not Poor GREEK Ppl"	
6.20734E+17	neutral	"http://t.co/IafdOkWbQ5 (Reuters) - Oklahoma's Olivia Jordan was crowned Miss USA on Sunday, capping weeks of controversy in the run-up to"	
6.20737E+17	positive	"Tomorrow 7-14-15 the new Harper Lee novel ""Go set a Watchman"" is released !!!"	
6.20737E+17	positive	"Go Set a Watchman (the sequel to ""To Kill a Mockingbird"") hits the bookshelves tomorrow!!!!! #hype #turnt"	
6.20738E+17	positive	@LoweCatherine I can't wait to get Watchman tomorrow...more because I want to see her maturation as a writer. Forensic reading.	
6.20738E+17	positive	"Who else is excited about Go Set a Watchman by Harper Lee, which hits stores this Tuesday? Stop by Barnes &amp; Noble... http://t.co/7A3mG21REx"	
6.20739E+17	neutral	EN DIRECT sur #Periscope : im practicing the rolling stone for wednesday in quebec https://t.co/FjGtSfQwUN	
6.2074E+17	neutral	"Hero, anti-hero: one in the same? Go Set a Watchman out tomorrow. American Masters http://t.co/hsBnlYW2Cq @pbsteachers"	
6.20745E+17	positive	@KFROGRadio so glad I was the grand prize winner to see Zac Brown Band I can't wait til October :)	
6.20751E+17	neutral	Let's talk about the situation that's arisen between Sheamus and Randy Orton...... We still don't care 3 years after the 1st time.	
6.20751E+17	neutral	"Go Set a Watchman comes out tomorrow! Do you plan to read it?   I have to reread TKAM first, but then I definitely... http://t.co/v1iYNZSN5Y"	
