NA	sentiment	tweet
6.38667E+17	neutral	Michael Jackson may have composed the music in Sonic 3. Someone please confirm this for me before I die this is so important
6.38759E+17	neutral	My Book about Michael Jackson is out Sept 10th #michaeljackson #83minutes #michaeljacksonbook
6.38818E+17	positive	"@autoengmike @Minutemaniac @ImStillARebel @coltgovt45 @typewrittenlove You're a better dancer than Michael Jackson.  C""mon, spill the beans"
6.3885E+17	negative	I was sat with my auntie who has seen Michael Jackson live &amp; I had to watch a shitty Bruno Mars tribute try to sing Billie Jean
6.38879E+17	positive	"@Glen_Hansard 1st record, &amp; best memory of buying an album with my own $, was Michael Jackson's Thriller. In that moment, I was a rockstar."
6.38995E+17	positive	@HeartNorthWest you can't beat a bit off Michael Jackson on a Wednesday morning #time tunnel
6.39028E+17	neutral	@michaeljackson MARK LANGTHORNE @mark_langthorne  My Book about Michael Jackson is out Sept 10th. The truth 4 MJ #michaeljackson #83minutes
6.39069E+17	positive	"#TodayInMusicHistory Michael Jackson earned his 12th and last solo #1 during his lifetime with the song ""You Are... http://t.co/Nlw0yhsCSk"
6.3909E+17	positive	Last Saturday would have been his 58th birthday. Mussic from Michael Jackson coming up in just a few minutes.....
6.39091E+17	positive	"Let us dream of tomorrow where we can truly love from thsoul,&amp; know love as the ultimate truth at the heart of all creation Michael Jackson"
6.39106E+17	positive	Will YayaDub dance this Saturday?  Think she can do the Michael Jackson dance. #aldubjourneytoforever
6.39131E+17	neutral	It is too hot. I was waking around campus w my big black umbrella just 2 shade myself from the sun. I think I'm Michael Jackson or something
6.39216E+17	positive	I JUST CAN'T STOP LOVING YOU by MICHAEL JACKSON AND SIEDAH GARRETT was no.3 in the UK charts on 2 September 1987
6.39297E+17	positive	s/o to 7th grade year when being michael jackson still lost to a bumblebee during the halloween costume contest http://t.co/bS2QbzrPjG
6.39373E+17	positive	"Jay Z apparently joined Instagram on Saturday and posted a photo montage of himself with Michael Jackson, who would have been 57 years old."
6.39395E+17	positive	"Remembering Michael Jackson Thursday, September 3rd Starting at 22:00  Party like a king in memory of the King of... http://t.co/yyhSrlNhxt"
6.39404E+17	positive	Mojo just did a mini-mix of classic Michael Jackson that just made my Thursday better.
6.39405E+17	neutral	"83 Minutes, major new book on the amazing life &amp; tragic death of Michael Jackson released on Sept 10. @MJJCommunity @MJJLegion @mjsunifc"
6.39433E+17	neutral	#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.
6.395E+17	negative	in 8th grade i harassed a 7th grader telling him he looked like michael jackson every day and he just walked past me. he still looks like MJ
6.39521E+17	neutral	"On this day (September 03, 2009), Michael Jackson was buried at his final resting place - The... http://t.co/CgYtsWrr7z"
6.39534E+17	positive	#Unbreakable will mark the 1st time Janet Jackson has opened up about her brother Michael Jackson http://t.co/id0GdjDg4p
6.39644E+17	positive	"Fandom Infiltration - As you may or may not know, I accompanied my mawm to the Michael Jackson One Cirque... http://t.co/l1XAIbpI7i"
6.39671E+17	positive	@candycaneliam @MidnightMiseryx @fandombeliefs and may i remind you that 4/5D look up to Michael Jackson lol
6.39786E+17	positive	"Michael Jackson, a place with no name. Rare USA sold out: $129.99End Date: Thursday Sep-10-201... http://t.co/aOAwUrXS02 #michaeljackson"
6.39904E+17	positive	i move tomorrow and i still havent packed 1 thing but i dont care because michael jackson released an album when he was dead
6.39957E+17	neutral	"Michael Jackson may have had Thriller, but the Fat Boys had Freddy Krueger. http://t.co/H6hJbVNvLi"
6.40033E+17	negative	@MissSonalChadha Take a look at @RajivMessage's Tweet: https://t.co/Xl0moCLGjZ  Hindus should not use RIP.  U can use it for Michael Jackson
6.40048E+17	positive	Your #Saturday #Satisfaction with Michael Jackson - You are not alone (radio edit) http://t.co/CvHFOMO1tN #zaterdag #samedi
6.40147E+17	positive	"Its #FreddieMercury's 69th Birthday! Many of you may have seen this, here's a rare pic of him with Michael Jackson! http://t.co/RY5GliAqjq"
6.40176E+17	positive	so everyone was so happy bc michael jackson came and he sat down and started singing so we all gathered around and listened
6.40177E+17	positive	Put my Michael Jackson playlist on and cleaned the hell out of my house. Gonna be a great Saturday.
6.4018E+17	positive	"Portland, make sure and catch @mattwertz this Wednesday at 8 at Alberta Rose Theater. I'm hoping for at least 4 Michael Jackson covers."
6.40215E+17	positive	I'm trying to decide what I want my son to be 4 Halloween 1.Donald Trump  2.Barack Obama or 3rd Michael Jackson he could pull off all three
6.40294E+17	positive	The Weeknd may be a God. Or the new age Michael Jackson
6.40314E+17	neutral	Here is how Michael Jackson may have done it. https://t.co/QinqpGkee9
6.40361E+17	positive	"On Tuesday, 10/27, starting at 4:00pm PST, watch the Michael Jackson's This Is It movie live red carpet premiere on http://t.co/OmQ2XKOKDp"
6.4039E+17	positive	@CarbieWarbie TY4 follow. Happy Sunday! ET the Extraterrestrial (Storybook) as told by Michael Jackson (Movie Edit) https://t.co/Kfa3Y3yFUX
6.40536E+17	neutral	The sound of Sunday with Michael Jackson - Blood On The Dancefloor http://t.co/CvHFOMO1tN #webradio #internetradio
6.40546E+17	neutral	OFF THE WALL by MICHAEL JACKSON was no.12 in the UK album charts on 6 September 1980
6.40549E+17	positive	"will be resuming his ""Artist of the Week"" selections on Tuesday. His featured artist at that time will be Michael Jackson."
6.40553E+17	positive	Sunday brunch with a Bloody Mary is the best! Michael Jackson is on the radio too! #drinklocal #dolocal #music http://t.co/S7dFzns799
6.40705E+17	positive	I get my 1st slumber party with Helen Byers Moore since our back in the day moments with our Michael Jackson... http://t.co/nkmXUYxheD
6.40745E+17	positive	"On 6 September 2001, Michael Jackson made a surprise appearance at the mtv vma where she danced with * Nsync. http://t.co/EwlitvXQML"
6.40749E+17	positive	They're showing the Motown 25th on PBS. Michael Jackson at the height of his fame. Mind blowing moves. #MoonwalkDebut
6.40755E+17	neutral	3rd: The Weeknd sounds just like Michael Jackson
6.40768E+17	neutral	"#LQLDailyQuestion Which actress died aged 62 on the same day as Michael Jackson, June 25th 2009?"
6.40775E+17	neutral	@MirandaCosgrove @CaylenWeather michael jackson or harry styles? the world may never know
6.40876E+17	neutral	Van Halen and LL Cool J talk about Michael Jackson (LMJ May 3rd 2013) https://t.co/WwQ1KQnRDz via @YouTube
6.40893E+17	negative	"I never see any 21st Generations trying to copy the ""Other King"" Elvis Presley - Every goddamn artist in these days copies Michael Jackson"
6.40962E+17	positive	@jermjackson5 omg your in London on September 12th I'm going to London for the Michael Jackson kingvention that day!!!!
6.40981E+17	positive	"Rock Calendar 9-7-01: Performing on stage for first time in 11 years, Michael Jackson is reunited with Jackson 5 at The 30th Anniv. Celeb."
6.41017E+17	positive	when i was in 4th grade my sister convinced me that michael jackson was the guy in the barney suit all those years
6.41029E+17	positive	@8dreamerMJJ thank god i was so nervous i didn't how Michael Jackson hardcore fans may feel about @chrisbrown taking on such a big project
6.41104E+17	neutral	"I spent all weekend in the sun, and I'm still paler than the ghost of Michael Jackson. #whitepeopleproblems"
6.41178E+17	neutral	"83 Minutes - at last, the Michael Jackson book is out tomorrow. It is the story of what happened the night he died."
6.41188E+17	neutral	"Yg puts Ikon as 2nd bigbang, and BI as GD = the next michael jackson is justin bieber. @ygent_official are you patrick star?"
6.41222E+17	positive	@JusReign my favourite Michael Jackson is the one with the tingalingalingalingashingshongbhungbhaaanng tap tap moonwalk on the sun
6.41253E+17	neutral	"Not sure what it was like seeing michael jackson outdoors, but its gotta be similar to future's set on sunday"
6.41325E+17	neutral	Eve has 2 different styles; Jared Leto or Michael Jackson... What will it be tomorrow ? Stay tuned to find out
6.41338E+17	neutral	For ICC i cud jst sing along the 1st time i heard it But Dumb Dumb  I jst remember alotta highnotes Dumb x6 and sumthing michael jackson
6.41344E+17	negative	"R8 has FINALLY dropped, Kanye is in his second term of presidency, Michael Jackson moonwalked on the sun, fuckboys gained some respect for w"
6.41359E+17	negative	"Michael Jackson, if he only believed his own words, he may not of transformed himself into the ghoul http://t.co/UaVtsk7VMg"
6.41414E+17	positive	Michael from Good Times is the 2nd greatest Michael. Michael Jackson is number one.
6.41463E+17	positive	Monarchy expert D. Michael Jackson will chat about Queen Elizabeth's long reign on @NewsTalk770 tomorrow at 12:30pm.
6.20657E+17	positive	If Barack or Michelle Obama walk the runway during Style tonight or tomorrow life will be complete. That is all.
6.20727E+17	positive	"Michelle Obama seems to have really enjoyed her theater going this weekend. She saw Kinky Boots on Saturday, and The King and I on Sunday."
6.20739E+17	positive	"Michelle Obama set the bar exceptionally high 4 @FLOTUS What kind of 1st lady would @TonetteWalker be WI wouldn't know, we've never met her"
6.21027E+17	positive	My mom heard someone say Michelle Obama on TV and she started singing 5th Harmony... Help
6.21056E+17	negative	Don't yall see what they doin they distracting us with today's kids will ever know because on July 14 Barack and Michelle obama got together
6.21445E+17	neutral	"See Tika Sumpter as Michelle Obama in 'Southside with You' photo: Annie MartinLOS ANGELES, July 15 (UP... http://t.co/Tspa5x2n6e #TSCEnt"
6.21554E+17	negative	Retweet if you think Michelle Obama is an awful 1st Lady... http://t.co/mYpmCoLfE8
6.21817E+17	neutral	A: I'd gladly have somebody else pay you next Tuesday for a vegan burger today Q: What would Michelle Obama say if she were Wimpy @fredwimpy
6.22066E+17	neutral	SMH Mayor in Washington St. Makes Racist Remarks about PBO &amp; 1st Lady Michelle Obama; Refuses to Resign http://t.co/sRmwlqiBYb via @dailykos
6.22071E+17	positive	Michelle Obama: US 1st Lady teams up with Wale to promote higher education http://t.co/QDY3iC5TjF
6.22212E+17	neutral	Harvard educated First Lady Michelle Obama reminded attendees of a naturalization ceremony Wednesday that the... http://t.co/LeG5gtWs1C
6.22396E+17	negative	The best way to find Malaysia Airlines Flight MH370 may be with Michelle Obama's arms.
6.22501E+17	neutral	Who would make a better 1st lady of the US? RETWEET for Melania Trump ignore for michelle obama @realDonaldTrump http://t.co/otwIgPJC1Q
6.22866E+17	neutral	dear everyone   it was funny the 1st time you called me Michelle Obama  9179027th time  not so much
6.23334E+17	positive	I frick frackin love shows with Madison so much tomorrow is going to be so fun wowowowowoowowowwowowowoow I'm not ready Michelle Obama
6.23458E+17	negative	Many may not know that Michelle Obama graduated from Harvard. What did she learn there? She had to surrender her law license for LYING.
6.2359E+17	neutral	First lady Michelle Obama gave a passionate keynote address at the first White House Tribal Youth Gathering in Washington on Thursday.
6.23618E+17	neutral	"Wale is going to perform at the White House on Thursday as part of Michelle Obama's ""Reach Higher"" education initiative"
6.23661E+17	neutral	"Who would you rather have as a 5th Member: Michelle Obama, an Ewok or The Sneezing Panda. #iHeart5SOS"
6.23738E+17	neutral	"E! News Terrence Jenkins w/moderate keynote with First Lady Michelle Obama on July 23rd, 8am. For the 2015 Beating The Odds Summit."
6.23833E+17	neutral	I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for! @amyschumer
6.2396E+17	positive	2 Thomas Edison HS graduates will join 1st Lady Michelle Obama's Beating the Odds Summit bringing together 2015 college bound graduates
6.24012E+17	neutral	The only time Michelle Obama would lower the flags on her property is if they were blocking the sun while she was sunbathing. #Chattanooga
6.24023E+17	positive	"@Literarygrrrl Michelle Obama may be the first lady, but these shoes will make you a lady in the streets (and a freak in the bed)."
6.24029E+17	positive	Going to First Lady Michelle Obama's Beating the Odds Summit tomorrow! #excited by cameyyboo #WhiteHouse #USA http://t.co/1Wu5R5oXD0
6.24123E+17	neutral	Just remember Michelle Obama told Barack Obama she may not vote for him for senate just because she didn't want him in politics.
6.2417E+17	neutral	2 MN college bound teens will be at the White House today with 1st Lady Michelle Obama. How they scored this life changing invite at 6 @kstp
6.24247E+17	positive	#US 1st Lady Michelle Obama speaking at the 2015 Beating the Odds Summit to over 130 college-bound students at the pentagon office. &gt;&gt;
6.24603E+17	neutral	Crazy Monday: Michelle Obama juggles her roles with poise and grace http://t.co/zdlPQQOsKv
6.24746E+17	neutral	Yesterday was National Hot Dog Day . . . Or as Michelle Obama called it:  Thursday.
6.24748E+17	positive	"Also the first to graduate college, I agree. Michelle Obama: Making school cool is key to success. http://t.co/loJjjDwEXB via @washtimes"
6.25002E+17	positive	@CollinceBey I admire Michelle Obama more. Cant imagine how she survived being in a remote African village for 1st time! She deserved WH!
6.25047E+17	positive	Is Michelle Obama and the sytycd crew dancing at the White House today cuz I may have to join
6.25192E+17	positive	The 1st Lady Michelle Obama was in the house! What an inspirational moment! #ZenoFamily https://t.co/SLJ4kVpcHO
6.25326E+17	positive	"First Lady Michelle Obama kicked off the Special Olympics World Games in Los Angeles on Saturday, welcom... http://t.co/EGPFc8l5vy #news"
6.25394E+17	positive	"In May I sent a Children at Nature Play sign to First Lady Michelle Obama. Today, I received a thank you note... http://t.co/RzKpcRd6CA"
6.25451E+17	neutral	"Michelle Obama complains about not being paid, Watch Laura Bush set her straight - http://t.co/Fe0z2RxYC5, Mooch!"
6.25667E+17	positive	"Michelle Obama to 1st gen college students on education: ""This should be the cool thing to do in life."" http://t.co/IAvm1PHADn"
6.25766E+17	neutral	Have you seen the first lady? Michelle Obama may still be in the Coachella Valley @TDSColinAtagi http://t.co/fk04VotSVB via @mydesert
6.25795E+17	negative	@marklevinshow Exactly! Now that the US is a Constitution-less dictatorship Michelle Obama may never leave the White House.
6.25993E+17	positive	"Michelle Obama has a dance off with Ellen DeGeneres to celebrate the 5th anniversary of the First Lady's ""Let's... http://t.co/offpskaHAY"
6.26037E+17	neutral	Be careful what you wish for Michelle Obama will announce soon.  That 3rd term talk is a test https://t.co/soBIWUcWMY
6.2627E+17	positive	"Michelle Obama played hopscotch, danced and sang with 33 disadvantaged children from the Indian charity Make a Difference on Saturday"
6.26528E+17	positive	my woman crush for wednesday is michelle obama bc she slays my life
6.26942E+17	neutral	"If you think you've seen everything? You heard it here 1st. Meet 2016 Democratic Presidential Nominee, Michelle Obama http://t.co/wbgtIArfsD"
6.2696E+17	neutral	I'm more concerned about Barack getting his 3rd term wish through Michelle Obama than I am uncle Joe. Just saying. https://t.co/8Gu7lu7qZq
6.27603E+17	positive	@Anomaly100 @marpeesh @HMiglino @TeaPainUSA No wonder you think Michelle Obama may be attractive?!?
6.27613E+17	positive	Caller:President Obama said-'If there was no restriction on me having a 3rd term I would win it.' Was that a precursor for Michelle Obama?
6.28005E+17	neutral	S/O to the people going back to school tomorrow and have to eat Michelle Obama's nutritious school lunches. #mmm
6.28325E+17	positive	Michelle Obama is the sexiest 1st lady in history &amp; will be for the next 50 years at least. yes even hotter than Trumps current spouse imo
6.28393E+17	neutral	Today: a 4th grader was saying how she wrote to Michelle Obama &amp; my 5 year old responded that he wrote to the bears of Yosemite. #andhedid
6.28549E+17	neutral	Talk about running the world.&amp;#160; Michelle Obama sat down with rapper Wale on Friday to answer questions and promote her Reach Higher
6.28572E+17	negative	"@thehill 50 Most Beautiful.  Michelle Obama #9? Seriously? She could make several top 50 lists but c'mon, really? Her mother even disagrees."
6.28947E+17	negative	Study: Michelle Obama's anti-obesity campaign may actually make people gain weight http://t.co/UP2G3On4j6
6.29128E+17	positive	so I just found out today that I might get to see Michelle Obama on Friday
6.29136E+17	positive	i am going to try to meet Michelle Obama on friday
6.29507E+17	positive	"@JSCardarelle Yes! What I mean is that especially after Michelle Obama, the 1st Lady (or, one day, man!) plays a huge role in social issues!"
6.29827E+17	neutral	Don't play! She is the 1st Lady Michelle Obama! http://t.co/vXGmqFxjMy
6.30095E+17	neutral	"Boy, did Michelle Obama look miserable dehelicoptering in Martha's Vineyard. What's the 1st missus got to gripe about? Not feelin' the love?"
6.30391E+17	positive	Happy 50th Birthday Michelle Obama! We're winding down our Friday with our favorite FLOTUS quotes! # http://t.co/gR9FhqKJEH
6.30532E+17	negative	"*finds out we need a shot for 6th &amp; 12th grade* Kelsey: ""It was Michelle Obama wasn't it. She took away our food &amp; now she's stabbing us."""
6.30807E+17	neutral	"@spareribbetje Walrus, die word bereden door Michelle Obama in de opkomende zon met tekst ""I wish i was that walrus, cuz the sun is pretty"""
6.3082E+17	neutral	@father you still got the Michelle Obama shirt ?  https://t.co/tYtCyltfD6
6.31241E+17	negative	"Kim Kardashian may have no talent, but she's a business woman. Michelle Obama dont got talent. She was just that wife on the come up"
6.31533E+17	neutral	@AngryBlackLady @FatBodyPolitics did U just call Michelle Obama trash? #1 she is a awesome 1st Lady! #2 Patriotism = respect for 1st family!
6.31758E+17	negative	Wouldn't surprise me if Michelle Obama was the brain child behind ISIS in the 1st place. @andyjonesKipper @Its_jihadist
6.32073E+17	positive	"The Michelle Obama Look Book http://t.co/SaRH5Zlzge via @TheCut | The 1st Lady. All dressed up , 4ever on the go &amp; on the taxpayer's $$$"
6.32442E+17	positive	"Laura W. Bush Michelle Obama Psalm 72:15 Long may he live, receiving gold from Arabia,  prayed for without cease,... http://t.co/ZqPI9BiCm7"
6.32961E+17	positive	"Michelle Obama, Barack Obama: Honor Colored Girls on February 28th (the last day of black history mon... https://t.co/XiiXsO0b1K via @Change"
6.33071E+17	positive	Jan runs into Michelle Obama on her way to a charity event. Storm clouds begin to brew over the women as they battle for psychic control.
6.33206E+17	positive	Sum1'll say he saw PMB wt Michelle Obama @ a hotel kissin n d nxt 2nd ur readn it online alrdy! No e4ts 2 find out d authenticity of d story
6.33476E+17	neutral	@garza_tex @foxandfriends Michelle Obama stated she was embarrassed of America. Figured she'd be 1st 2 give up citizenship. Bow 2 that.
6.33749E+17	positive	Ugh! Michelle Obama was selected the Best Dressed Woman by The Sunday Times (Time). http://t.co/0bQ4SnQfxH https://t.co/U9cmWaOoFR
6.3378E+17	positive	First Lady Michelle Obama is a elegant and classy 1st Lady who presence touch the heart of us all #LoveMyPresident&amp;FirstLady @InsideEdition
6.34134E+17	neutral	@Adorable_Dime you may be right. You also forgot about Michelle Obama and Rihanna on the cover..all granted interviews
6.34186E+17	positive	AMERICA! my friends @TheStruts are playing the Jimmy Kimmel show tomorrow night with Michelle Obama! couldn't be more proud!
6.34233E+17	neutral	@LeoKikiLady89 chile did you read about Michelle Obama this lady is the 1st wife educated with a ton of degrees and said she wishes she was
6.34311E+17	negative	for the first time in my adult lifetime I'm really proud of my country- MOST UN-AMERICAN STATEMENT BY DISGRACED 1ST LADY MICHELLE OBAMA
6.3457E+17	negative	"@Matthops82 @nightowl197395 @sallykohn  Plus, it's Michelle Obama trying to pick what foods we can eat.  I may have read that wrong, though."
6.34842E+17	neutral	"During Thursday night's edition of Jimmy Kimmel Live, the ABC comedian helped first lady Michelle Obama make a... http://t.co/2r5UCGnTCS"
6.35097E+17	negative	Danny Drinkwater is just a plant from Michelle Obama to force healthy dietary choices on Saturday morning soccer watchers. #tcot
6.35099E+17	negative	United wanting to sign Neymar is like me wanting to marry Michelle Obama.. although the difference is I may have a chance
6.35386E+17	negative	Faux FLOTUS Michelle Obama recently floated the Sheerly repugnant suggestion that she may run for POTUS.
6.3553E+17	neutral	I was challenged to post three things about myself that you may not know... 1. Michelle Obama WAS NOT the first... http://t.co/bmb3MWZVmP
6.35846E+17	negative	"How r the Christian ""Right"" going 2 accept this from 1st lady when Flotus Michelle Obama got slammed 4 her bare arms http://t.co/psat2Dgitx"
6.36347E+17	neutral	Hey tomorrow's wing Wednesday! Unless they changed it... and it's like Tofu Wednesday... I mean you know Michelle Obama... -my dad
6.36406E+17	positive	Michelle Obama is one of the most active 1st ladies since Eleanor Roosevelt tbh
6.3736E+17	neutral	"MICHELLE OBAMA Look- A-Like - ""People always tell me I look like U.S.A 1st Lady Michelle Obama. I do not see the... http://t.co/qyszgYaW0c"
6.37418E+17	negative	Let's put a stripper in the White House. And RWNJs say Michelle Obama has no class.  https://t.co/asaJnLPlPr
6.37627E+17	neutral	@LyndaG1963 @9975Ts @GrimMWB @Jcpcond :If she's like Michelle Obama that may not be true?
6.38183E+17	positive	michelle obama would be a great president man just think about how she never sat on her ass while her husband was running
6.38825E+17	neutral	If Kanye really did run for president Michelle Obama would still be the baddest 1st lady ever
6.39104E+17	neutral	"Food giants call a truce w/ Michelle Obama, @politico reports http://t.co/VxAGF6QUX6 (Tho some wld say the 1st Lady raised a white flag)"
6.39751E+17	positive	i want Michelle Obama to be president with Michelle Williams from DC as Vice President (she already know what its like to be 2nd in command)
6.39859E+17	neutral	I dm'd michelle Obama. I'm going to erase it tomorrow if she doesn't respond
6.4057E+17	negative	@AmberLoGuirato you don't know ton like I do I suck his cock on a late Tuesday night with michelle Obama and Kenny's dad
6.40992E+17	negative	"Michelle Obama to jump in race for president? http://t.co/C6x2A7APvU via @worldnetdaily# A 3rd term 4 the communist, islamists in the WH, NO"
6.41002E+17	neutral	"@Megaroooo scroll down for ""egg person of the year"" photographed with barack and michelle obama: http://t.co/pPFbR7qdtR"
6.41165E+17	neutral	Michelle Obama's waiting in the Master Bedroom Chelsea Clinton's waiting in the Lincoln Bedroom WHICH ROOM 1st @Sadieisonfire @REALFITFINLAY
6.41523E+17	positive	"'The View' returns with new, hopefully controversial hosts: Guest Michelle Obama (3rd L), wife of presumptive ... http://t.co/HHP4rsf6xj"
6.3323E+17	positive	I may have a treat for you guys tonight so you can play some Minecraft with me ;) #TheDream
6.33417E+17	positive	"Looking forward to learning about Skype, Minecraft, Sway &amp; more Thurs/Fri at TnT.  Still room for more! http://t.co/2Jp8u7xENz #psd70"
6.33539E+17	positive	Doing a mock build of Ashoka build now and I think I might build her in Minecraft tomorrow.  If so I'll definitely stream it #disneyinfinity
6.33563E+17	positive	Had fun streaming with friends. Hopefully I'll get back to Minecraft tomorrow! Goodnight all
6.33703E+17	positive	"Calling all Minecraft fans, this Saturday August 22, it's Minecraft survival night. Come show us your building... http://t.co/WW5d2CTrWg"
6.33817E+17	positive	@bcfcAnt my birthday is Sunday August 23 I can't wait I hope I get ps4 with Minecraft and bo2 and advanced warfare and gta 5
6.33818E+17	positive	@oJutz I'll actually be able to play Minecraft with you tomorrow on stream :D
6.33852E+17	positive	Of course mom can make a Minecraft cake. Happy 6th to my little man. https://t.co/1HFAUkeNYF
6.34175E+17	positive	"Early upload of Minecraft, this week, since I'm going to be away from the computer essentially all day tomorrow!"
6.34315E+17	positive	@callahan_kristy check out my #YouTube  Channel new video soon about Minecraft I think you may like it
6.34348E+17	positive	"LIMITED AVAILABILITY! REGISTER TODAY!! ""Minecraft may have started out as just a game, but it has become much more... http://t.co/dUAN5oK1F8"
6.34419E+17	positive	By @AmiriKing: My 7 y/o just back talked me.  Tomorrow while she's at school I'm logging into Minecraft and destroying her entire village.
6.34439E+17	neutral	A good read about what's happening to Minecraft in schools... http://t.co/qjjB5HfnAw
6.34451E+17	positive	Playing #Diversity2 on Minecraft with @flipTflop and friends. #playing #it #for #my #4th #time
6.34482E+17	positive	@mrsdrakepve @anniedewey So my 3rd grader tells me you're interested in Minecraft lessons. He would love to show you the ropes!
6.34567E+17	positive	Gym time :) Friday stream will be back to Minecraft! See you then!
6.34676E+17	neutral	"@taisling Prendeville was on about violent videogames on Monday, even Minecraft is bad apparently... How long you about for?"
6.34704E+17	positive	@eckoxsoldier 'Ruben the 2nd' or 'Percy Porker' for Moo's Minecraft pet house pig?  :-D
6.34715E+17	positive	Next Thursday we're helping @DerbyMakers with the free Minecraft event @derbysilkmill. Find out more here: http://t.co/0JPLBRk6Um
6.34955E+17	positive	Thank you all for coming to the stream tonight! Very laid back tonight :D Tomorrow! We play Minecraft and more! :D
